"channel","publishedAt","textOriginal","source","likeCount","prediction"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-14T23:11:06Z","Top 3 actors of the last 3 decades","youtube","0","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-26T13:03:47Z","Actually, Kevin is quite unreiable witness, I think the public will sooner or later find out why. I can tell you this, from what I suspect he can't  and never will be charged with anything again in any court of law. He is unfit to stand any trials because of serious medical issues. His diagnosis, if correct and finally revealed, puts a total different light on the whole story of sexual abuse. It actually might happen in much bigger scale than we know now OR it might actually NOT happen at all. He might even don't have so many lovers for real as he let us believe for a while.","youtube","0","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-27T04:10:10Z","And this is where I tune out. This place has gone to the dogs.","youtube","2","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-29T21:10:14Z","2:13:17 Kevin spacey finishes pouring his heart out about his upbringing.\nLex Fridman: Soo uhh.. Is house of cards real?? Jesus christ this tard his so fucking funny","youtube","2","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-12T20:00:27Z","Bro, you should direct Twilight Zone","youtube","0","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-28T18:57:01Z","Most of the witnesses died fam","youtube","0","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-10T16:59:31Z","Red One is coming to Prime December 12th\nhttps://www.amazon.com/redone","youtube","1900","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-04T20:05:21Z","Lex, this is going to sound completely unhinged, but when itâs revealed that this guy is part of an occult child trafficking organization, please delete this episode.","youtube","2","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:36:23Z","Under an hour gang!","youtube","1","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:36:10Z","Wow","youtube","0","positive"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:36:19Z","Ronaldo The GOAT🐐","youtube","0","neutral"
"","2024-12-10T13:12:18+0000","Q: I have a few black plastic kitchen utensils in my drawer, but I’ve read that they’re dangerous. Is that true?","nytime","","negative"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-01T03:51:52Z","lex is turnt in this intro","youtube","0","neutral"
"","2024-12-10T15:30:05+0000","Doctors routinely advise that women undergoing screening for cervical cancer receive Pap smears every three years beginning at age 21. Now, beginning at 30, women have a new option.","nytime","","positive"
"","2024-12-10T11:43:37+0000","For five days, the man who killed a health insurance C.E.O. on a Manhattan street seemed to have vanished. But yesterday morning, a McDonald’s employee in Altoona, Pa., noticed a familiar-looking young man eating a meal and called the police.","nytime","","negative"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-21T22:30:41Z","Guilty. Guilty Guilty If you knew him youd know he was guilty. He groped everyone and even admitted it on the PM Show.","youtube","0","negative"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:21:53Z","You are my inspiration ✨","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-21T22:32:37Z","He needs to stop acting in interviews","youtube","2","neutral"
"","2024-12-10T10:02:53+0000","“Do you not realize that Eve is you?”","nytime","","neutral"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:20:29Z","And i hope you read this Ronaldo","youtube","0","neutral"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:40:13Z","imagine if cristiano ronaldo tried to play horror games 😂","youtube","0","neutral"
